protein,mn_pn
Ran,0.731818182
Ran,0.534090909
Ran,0.87960688
Ran,0.798668885
Ran,0.672240803
Ran,0.244
Ran,0.628571429
Ran,0.78968254
Ran,0.558988764
Ran,0.53164557
Ran,0.690834473
Ran,0.489146165
Ran,0.570188133
Ran,0.886934673
Ran,0.469849246
RCC1,0.320644217
RCC1,0.502196193
RCC1,0.383297645
RCC1,0.411134904
RCC1,0.35515873
RCC1,0.413953488
RCC1,0.330097087
RCC1,0.374757282
RCC1,0.150652432
RCC1,0.211150652
RCC1,0.266033254
RCC1,0.446857143
RCC1,0.379790941
RCC1,0.24912892
RCC1,0.179442509
RCC1,0.468158348
RCC1,0.240963855
RCC1,0.328743546
RCC1,0.316546763
RCC1,0.271582734
RCC1,0.352517986
RCC1,0.299047619
RCC1,0.2
RCC1,0.230769231
RCC1,0.527131783
RCC1,0.32751938
RCC1,0.407103825
RCC1,0.697727273
RCC1,0.466501241
RCC1,0.331018519
RCC1,0.377358491
RCC1,0.389937107
RCC1,0.24940048
RCC1,0.352517986
RCC1,0.244611529
RCC1,0.479809976
RCC1,0.32304038
RCC1,0.482939633
RCC1,0.452662722
RCC1,0.350404313
RCC1,0.273734177
RCC1,0.39
RCC1,0.315
RCC1,0.265
RCC1,0.235025381
RCC1,0.355329949
RCC1,0.66084788
RCC1,0.483790524
RCC1,0.541147132
RCC1,0.344106464
RCC1,0.565217391
RCC1,0.418604651
RCC1,0.543604651
RCC1,0.313953488
RCC1,0.367847411
RCC1,0.310626703
RCC1,0.305637982
RCC1,0.526190476
RCC1,0.437923251
RCC1,0.446952596
RCC1,0.37987013
RCC1,0.27540107
RCC1,0.25026738
RCC1,0.482993197
RCC1,0.511530398
RCC1,0.298747764
RCC1,0.4490161
RCC1,0.421965318
Nup153,0.508
Nup153,0.021
Nup153,0.314
Nup153,0.2
Nup153,0.373
Nup153,0.244
Nup153,0.386
Nup153,0.158
Nup153,0.107
Nup153,0.03
TPR,0.062
TPR,0.226
TPR,0.129
TPR,0.033
TPR,0.27
TPR,0.167
TPR,0.244
TPR,0.335
TPR,0.629
TPR,0.018
TPR,0.037
